timestamp,op,latency_ms,error
2026-09-23T06:44:47.795637+00:00,point_read,322.6,
2026-09-23T06:44:48.811033+00:00,scan_read,1014.9,
2026-09-23T06:44:50.278867+00:00,scan_read,1467.8,
2026-09-23T06:44:50.688196+00:00,write,409.3,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:51.016212+00:00,point_read,327.3,
2026-09-23T06:44:51.487131+00:00,write,470.9,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:52.151272+00:00,point_read,663.6,
2026-09-23T06:44:52.623974+00:00,write,471.9,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:53.067069+00:00,point_read,443.1,
2026-09-23T06:44:53.328003+00:00,write,260.4,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:53.636340+00:00,point_read,307.8,
2026-09-23T06:44:53.889618+00:00,write,252.8,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:54.762967+00:00,scan_read,872.8,
2026-09-23T06:44:55.585202+00:00,scan_read,822.2,
2026-09-23T06:44:55.784267+00:00,point_read,199.1,
2026-09-23T06:44:56.004111+00:00,write,219.8,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:56.953550+00:00,scan_read,948.4,
2026-09-23T06:44:57.202853+00:00,point_read,249.3,
2026-09-23T06:44:57.450063+00:00,write,247.2,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:57.883429+00:00,point_read,433.4,
2026-09-23T06:44:58.234792+00:00,write,350.8,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:58.513275+00:00,point_read,278.5,
2026-09-23T06:44:58.851410+00:00,point_read,338.1,
2026-09-23T06:44:59.194994+00:00,write,343.6,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:44:59.511876+00:00,point_read,316.3,
2026-09-23T06:44:59.751129+00:00,point_read,239.3,
2026-09-23T06:44:59.980824+00:00,point_read,229.7,
2026-09-23T06:45:00.276238+00:00,point_read,295.4,
2026-09-23T06:45:01.189327+00:00,scan_read,912.0,
2026-09-23T06:45:01.448631+00:00,point_read,259.3,
2026-09-23T06:45:02.355116+00:00,scan_read,906.5,
2026-09-23T06:45:03.510331+00:00,scan_read,1155.2,
2026-09-23T06:45:04.415367+00:00,scan_read,905.0,
2026-09-23T06:45:04.796257+00:00,point_read,380.3,
2026-09-23T06:45:05.303590+00:00,point_read,507.3,
2026-09-23T06:45:06.125900+00:00,write,822.3,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:45:06.625657+00:00,point_read,499.8,
2026-09-23T06:45:07.536042+00:00,point_read,910.4,
2026-09-23T06:45:08.012614+00:00,write,476.6,mysql: [Warning] Using a password on the command line interface can be insecure. ERROR 1364 (HY000) at line 1: Field 'method' doesn't have a default value
2026-09-23T06:45:08.356229+00:00,point_read,342.6,
2026-09-23T06:45:08.819226+00:00,point_read,447.1,
2026-09-23T06:45:09.312128+00:00,point_read,492.4,
