timestamp,op,latency_ms,error
2026-09-22T19:48:14.258841+00:00,point_read,1260.7,
2026-09-22T19:48:15.194320+00:00,scan_read,935.5,
2026-09-22T19:48:15.607685+00:00,write,413.4,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:16.374632+00:00,scan_read,766.9,
2026-09-22T19:48:17.661065+00:00,scan_read,1286.4,
2026-09-22T19:48:18.472638+00:00,point_read,811.6,
2026-09-22T19:48:19.382365+00:00,point_read,909.7,
2026-09-22T19:48:19.738157+00:00,point_read,355.8,
2026-09-22T19:48:20.318912+00:00,scan_read,580.8,
2026-09-22T19:48:20.559438+00:00,point_read,240.0,
2026-09-22T19:48:20.816018+00:00,point_read,256.6,
2026-09-22T19:48:21.044307+00:00,point_read,228.3,
2026-09-22T19:48:21.289304+00:00,point_read,244.5,
2026-09-22T19:48:21.629857+00:00,point_read,340.6,
2026-09-22T19:48:21.872573+00:00,point_read,242.7,
2026-09-22T19:48:22.114624+00:00,point_read,241.5,
2026-09-22T19:48:22.405436+00:00,write,290.3,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:22.713617+00:00,point_read,308.2,
2026-09-22T19:48:23.124652+00:00,point_read,411.0,
2026-09-22T19:48:23.718658+00:00,write,594.0,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:24.699081+00:00,point_read,977.4,
2026-09-22T19:48:26.310188+00:00,point_read,1611.1,
2026-09-22T19:48:27.089854+00:00,point_read,779.7,
2026-09-22T19:48:27.661448+00:00,point_read,571.1,
2026-09-22T19:48:28.681232+00:00,scan_read,1019.8,
2026-09-22T19:48:29.055089+00:00,point_read,373.9,
2026-09-22T19:48:29.373230+00:00,write,318.1,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:29.868537+00:00,scan_read,494.8,
2026-09-22T19:48:30.153347+00:00,write,284.3,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:30.443821+00:00,write,289.9,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:31.371122+00:00,point_read,927.3,
2026-09-22T19:48:31.728812+00:00,write,357.7,"ERROR:  column ""method"" of relation ""payments"" does not exist LINE 1: ...RT INTO payments (order_id, payment_date, amount, method, st...                                                              ^"
2026-09-22T19:48:31.990958+00:00,point_read,262.1,
